class,parameter,min,max,value,units
Rule310,baseTemperature,8,12,10,°C
Rule310,precipitationThreshold,8,12,10,mm
Rule310,numberOfHoursToConsider,20,30,25,hours
Rule310,bbchThreshold,12,18,0,BBCH code
Magarey,baseTemperatureRule210,8,12,10,°C
Magarey,precipitationThresholdRule210,8,12,10,mm
Magarey,baseTemperatureInfection,6.4,9.6,8,°C
Magarey,precipitationThresholdInfection,1.6,2.4,2,mm
Magarey,numberOfHoursToConsiderRule210,20,30,25,hours
Magarey,numberOfHoursToConsiderGermination,12.8,19.2,16,hours
Magarey,numberOfHoursToConsiderInfection,6.4,9.6,8,hours
Magarey,degreeHoursThresholdInfection,38.4,57.6,45,°C day
Magarey,rainTriggeringSplash,0.8,1.2,0.5,mm
EPI,keConstant,0.0096,0.0144,0.012,unitless
EPI,urUpperThreshold,72,108,90,%
EPI,urLowerThreshold,52,78,65,%
EPI,peConstant,0.16,0.24,0.2,fraction
EPI,alertThreshold,0,0,13,unitless
EPI,tempThresholdInf,8.8,13.2,11,°C
EPI,precThresholdInf,2,3,2.5,mm
EPI,bbchThreshold,12,18,0,BBCH code
DMCast,muK1,94.4,141.6,118,unitless
DMCast,sigmaK1,10.8,16.2,13.5,unitless
DMCast,thresholdPOM,0.024,0.036,0.03,fraction
DMCast,precThresholdOosporeGerm,2,3,2.5,mm
DMCast,tempThresholdOosporeGerm,8.8,13.2,11,°C
DMCast,tempThresholdSporangiaGerm,9.6,14.4,12,°C
DMCast,daysForSporangiaGerm,6.4,9.6,8,days
DMCast,precThresholdInf,0.16,0.24,0.2,mm
DMCast,tempThresholdInf,8.8,13.2,11,°C
DMCast,bbchThreshold,12,18,0,BBCH code
DMCast,daysForInfection,8.8,13.2,11,days
IPI,riUpperThreshold,2.4,3.6,3,unitless
IPI,tmeaniTminThreshold,10.4,15.6,13,°C
IPI,tmeaniUpperThreshold,0.8,1.2,1,°C
IPI,lwiLowerThreshold,0.8,1.2,1,hours
IPI,lwiUpperThreshold,4,6,5,hours
IPI,rhiUpperThreshold,1.6,2.4,2,unitless
IPI,ipiTminThreshold,7.2,10.8,9,°C
IPI,alertThreshold,10.4,15.6,13,unitless
IPI,tempThresholdInf,8.8,13.2,11,°C
IPI,precThresholdInf,2,3,2.5,mm
IPI,bbchThreshold,12,18,0,BBCH code
UCSC,vpdThreshold,360,540,450,Kpa
UCSC,dormancyBrakingLowerThreshold,0.024,0.036,0.03,unitless
UCSC,dormancyBrakingUpperThreshold,0.776,1.164,0.97,unitless
UCSC,germinationThreshold,0.8,1.2,1,unitless
UCSC,sporangiaSurvivalThreshold,0.8,1.2,1,unitless
UCSC,zoosporeSurvivalThreshold,0.8,1.2,1,unitless
UCSC,infectionThreshold,48,72,60,unitless
UCSC,incubationLowerThreshold,0.8,1.2,1,unitless
UCSC,incubationUpperThreshold,0.8,1.2,1,unitless
Misfits,LWminMacrosporangiaFormation,12,18,15,hours
Misfits,LWoptMacrosporangiaFormation,19.2,28.8,24,hours
Misfits,TminMacrosporangiaInfection,8,12,10,°C
Misfits,ToptMacrosporangiaInfection,14.4,21.6,18,°C
Misfits,TmaxMacrosporangiaInfection,19.2,28.8,24,°C
Misfits,LWminMacrosporangiaInfection,1,3,2,hours
Misfits,RainStartMacrosporangiaSpread,4,6,5,mm
Misfits,RHminMacrosporangiaFormation,56,84,75,%
Misfits,TminMacrosporangiaFormation,8,12,10,°C
Misfits,ToptMacrosporangiaFormation,14.4,21.6,18,°C
Misfits,TmaxMacrosporangiaFormation,19.2,28.8,24,°C
Laore,infectionThresholdRisk,5.6,8.4,13,unitless
Phenology,TminPlant,8,5,10,°C
Phenology,ToptPlant,20,30,22,°C
Phenology,TmaxPlant,28,42,35,°C
Phenology,ChillThreshold,5,12,10,hours
Phenology,ChillingRequirement,30,120,100,hours
Phenology,CycleLength,1600,2800,2700,°C day
BBCH,bbch10,0,4,0,BBCH code
BBCH,bbch15,4,15,16,BBCH code
BBCH,bbch53,15,40,20,BBCH code
BBCH,bbch65,15,45,25,BBCH code
BBCH,bbch71,10,30,20,BBCH code
BBCH,bbch77,20,35,30,BBCH code
BBCH,bbch81,25,50,60,BBCH code
BBCH,bbch85,30,65,65,BBCH code
BBCH,bbch89,50,85,80,BBCH code
BBCH,bbch99,85,100,90,BBCH code
